pregunta,opciones,respuesta_correctas,puntos,accion_puntos
¿Cuál es la capital de Francia?,"A) Madrid, B) París, C) Roma",B) París,500,
¿Qué planeta es conocido como el Planeta Rojo?,"A) Júpiter, B) Marte, C) Venus",B) Marte,400,
¿Quién escribió 'Cien años de soledad'?,"A) Mario Vargas Llosa, B) Gabriel García Márquez, C) Julio Cortázar",B) Gabriel García Márquez,350,
¿Cuál es el océano más grande del mundo?,"A) Atlántico, B) Índico, C) Pacífico",C) Pacífico,300,
¿En qué año llegó el hombre a la Luna?,"A) 1969, B) 1959, C) 1979",A) 1969,30,
¿Cuál es el animal terrestre más rápido?,"A) León, B) Guepardo, C) Halcón Peregrino",B) Guepardo,250,
¿Qué elemento químico tiene el símbolo 'O'?,"A) Oro, B) Oxígeno, C) Osmio",B) Oxígeno,400,
¿Cuál es la montaña más alta del mundo?,"A) K2, B) Kangchenjunga, C) Everest",C) Everest,350,
¿De qué país es originario el sushi?,"A) China, B) Japón, C) Corea del Sur",B) Japón,300,
¿Cuál es el río más largo del mundo?,"A) Amazonas, B) Nilo, C) Yangtsé",B) Nilo,10,
¿Quién pintó la Mona Lisa?,"A) Vincent van Gogh, B) Leonardo da Vinci, C) Pablo Picasso",B) Leonardo da Vinci,250,
¿Quién fue el primer presidente de los Estados Unidos?,"A) Thomas Jefferson, B) John Adams, C) George Washington",C) George Washington,30,
¿Cuál es el metal más abundante en la corteza terrestre?,"A) Hierro, B) Oro, C) Aluminio",C) Aluminio,350,
¿Qué instrumento se utiliza para medir la presión atmosférica?,"A) Termómetro, B) Anemómetro, C) Barómetro",C) Barómetro,300,
¿En qué continente se encuentra el desierto del Sahara?,"A) Asia, B) América del Sur, C) África",C) África,100,
¿Cuál es el hueso más largo del cuerpo humano?,"A) Tibia, B) Radio, C) Fémur",C) Fémur,250,
¿Qué ciudad es conocida como la 'Ciudad Eterna'?,"A) Atenas, B) París, C) Roma",C) Roma,30,
¿Cuál es el proceso por el cual las plantas producen su propio alimento?,"A) Respiración, B) Transpiración, C) Fotosíntesis",C) Fotosíntesis,300,
¿Quién fue el autor de la teoría de la relatividad?,"A) Isaac Newton, B) Galileo Galilei, C) Albert Einstein",C) Albert Einstein,300,
¿Cuál es el océano más pequeño del mundo?,"A) Atlántico, B) Índico, C) Ártico",C) Ártico,100,
¿Qué país es el más grande del mundo por área?,"A) Canadá, B) China, C) Rusia",C) Rusia,-500,
¿Cuál es el sistema de escritura de los antiguos egipcios?,"A) Cuneiforme, B) Alfabeto Fenicio, C) Jeroglíficos",C) Jeroglíficos,50,
¿Cuántos huesos tiene un adulto humano promedio?,"A) 200, B) 206, C) 212",B) 206,300,
¿Cuál es el río más largo de América del Sur?,"A) Paraná, B) Orinoco, C) Amazonas",C) Amazonas,350,
¿Qué famoso científico formuló la ley de la gravitación universal?,"A) Charles Darwin, B) Nikola Tesla, C) Isaac Newton",C) Isaac Newton,100,
¿Qué país es conocido como la 'Tierra del Sol Naciente'?,"A) China, B) Corea del Sur, C) Japón",C) Japón,250,
¿Cuál es el planeta más grande de nuestro sistema solar?,"A) Tierra, B) Saturno, C) Júpiter",C) Júpiter,50,
¿Qué lengua se habla en Brasil?,"A) Español, B) Inglés, C) Portugués",C) Portugués,0,duplicar_acumulados
¿Quién pintó la Capilla Sixtina?,"A) Donatello, B) Leonardo da Vinci, C) Miguel Ángel",C) Miguel Ángel,350,
¿Cuál es el país con la mayor población del mundo?,"A) Estados Unidos, B) India, C) Indonesia",B) India,400,
¿Qué gas es esencial para la combustión?,"A) Nitrógeno, B) Dióxido de Carbono, C) Oxígeno",C) Oxígeno,250,
¿Quién escribió 'Don Quijote de la Mancha'?,"A) Federico García Lorca, B) Lope de Vega, C) Miguel de Cervantes Saavedra",C) Miguel de Cervantes Saavedra,50,
¿Cuál es el deporte nacional de Japón?,"A) Judo, B) Karate, C) Sumo",C) Sumo,300,
¿Cuántos lados tiene un heptágono?,"A) 6, B) 7, C) 8",B) 7,350,
¿Cuántos lados tiene un pentágono?,"A) 5, B) 7, C) 8",A) 5,400,
¿Cuántos lados tiene un triangulo?,"A) 3, B) 7, C) 8",A) 3,500,